                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3248,                 2.2532,                 1.6153,                0.62867,                0.65094,                0.67612,                0.41321,                 1.2828,                 1.3552,                 1.7135,               0.000333,               0.000333,               0.000333
                      2,                 1.2697,                 1.6486,                 1.5404,                0.61342,                0.63057,                0.63755,                0.39292,                  1.299,                 1.5381,                 1.7476,             0.00063335,             0.00063335,             0.00063335
                      3,                 1.2449,                  1.504,                 1.5181,                0.68886,                0.70573,                0.74426,                0.49629,                 1.1589,                  1.131,                 1.5898,              0.0009007,              0.0009007,              0.0009007
                      4,                 1.2128,                 1.4117,                  1.487,                0.73001,                0.71607,                  0.761,                0.51298,                 1.1207,                 1.0771,                 1.5433,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.1754,                 1.3342,                 1.4598,                0.74734,                0.78828,                0.83513,                0.56785,                 1.1118,                0.92834,                 1.5406,               0.000802,               0.000802,               0.000802
                      6,                 1.1504,                 1.2744,                 1.4386,                0.76786,                0.78352,                0.83627,                0.57138,                 1.0805,                0.87696,                 1.4945,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.1361,                 1.2246,                 1.4268,                0.75329,                0.80728,                0.85494,                0.58336,                 1.0792,                0.85565,                 1.4854,               0.000703,               0.000703,               0.000703
                      8,                 1.1105,                 1.1801,                 1.4077,                0.76388,                0.82637,                0.86338,                0.60426,                 1.0334,                0.80668,                  1.448,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.0926,                 1.1456,                 1.3972,                0.79948,                0.80572,                0.86937,                0.61091,                 1.0244,                0.77814,                 1.4323,               0.000604,               0.000604,               0.000604
                     10,                 1.0824,                 1.1107,                 1.3886,                0.78293,                0.82868,                0.87887,                0.62393,                 1.0201,                0.74766,                 1.4264,              0.0005545,              0.0005545,              0.0005545
                     11,                  1.086,                0.91965,                 1.4775,                0.77216,                 0.8357,                 0.8712,                0.61796,                  1.008,                0.73435,                 1.4186,               0.000505,               0.000505,               0.000505
                     12,                 1.0566,                0.86075,                 1.4549,                0.80367,                0.81051,                0.88369,                0.63641,                0.99873,                0.68949,                 1.3996,              0.0004555,              0.0004555,              0.0004555
                     13,                 1.0392,                0.81902,                 1.4344,                0.81886,                0.82481,                 0.8971,                0.64582,                0.99603,                0.65487,                 1.3967,               0.000406,               0.000406,               0.000406
                     14,                 1.0193,                0.78184,                 1.4137,                0.83607,                0.80966,                0.90089,                 0.6553,                 0.9723,                0.63967,                 1.3764,              0.0003565,              0.0003565,              0.0003565
                     15,                 1.0036,                0.75032,                 1.4032,                0.82935,                0.82473,                0.90435,                0.65794,                0.97076,                0.62914,                  1.369,               0.000307,               0.000307,               0.000307
                     16,                0.98554,                0.72085,                 1.3865,                0.83024,                0.84093,                0.90604,                 0.6628,                0.96545,                0.61149,                 1.3583,              0.0002575,              0.0002575,              0.0002575
                     17,                0.97231,                0.69366,                 1.3734,                0.84321,                 0.8489,                0.91682,                0.67093,                 0.9642,                0.60425,                 1.3552,               0.000208,               0.000208,               0.000208
                     18,                0.96074,                0.67239,                 1.3622,                0.81249,                0.88047,                0.91603,                0.67292,                0.96426,                 0.5887,                 1.3534,              0.0001585,              0.0001585,              0.0001585
                     19,                0.94287,                0.65345,                 1.3523,                0.84274,                0.85786,                0.91946,                 0.6796,                0.95869,                0.57589,                 1.3473,               0.000109,               0.000109,               0.000109
                     20,                0.92714,                0.63331,                 1.3409,                0.83783,                0.86695,                0.91985,                0.67829,                  0.954,                0.57619,                 1.3412,               5.95e-05,               5.95e-05,               5.95e-05
