                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58889,                 2.7985,                 1.1541,                0.96276,                0.30291,                0.46474,                0.45728,                0.26154,                 2.4922,                0.94946,             0.00040761,             0.00040761,             0.00040761
                      2,                0.38393,                 1.7687,                  1.016,                0.56332,                      1,                0.70176,                0.67706,                0.32431,                 1.5802,                0.93058,             0.00079707,             0.00079707,             0.00079707
                      3,                0.34061,                 1.2937,                0.96029,                0.72376,                0.84036,                0.84976,                0.84618,                0.21226,                  1.259,                0.84395,               0.001159,               0.001159,               0.001159
                      4,                 0.3281,                   1.09,                0.96472,                0.73006,                0.94195,                0.86339,                0.85998,                0.19605,                0.91837,                0.82381,              0.0011263,              0.0011263,              0.0011263
                      5,                0.31118,                0.97234,                0.96051,                0.74696,                0.96851,                0.97545,                0.97454,                0.20627,                0.91404,                0.82643,               0.001085,               0.001085,               0.001085
                      6,                 0.2897,                0.88525,                0.94576,                0.69889,                0.88372,                0.87407,                0.87294,                0.18886,                  1.208,                 0.8218,              0.0010438,              0.0010438,              0.0010438
                      7,                0.29817,                0.87428,                0.93683,                0.76902,                0.84817,                0.90236,                0.89549,                0.21343,                0.95407,                0.83777,              0.0010025,              0.0010025,              0.0010025
                      8,                  0.288,                0.77076,                0.94449,                0.78187,                0.76314,                0.87115,                0.86861,                0.18661,                 1.0693,                0.81995,             0.00096125,             0.00096125,             0.00096125
                      9,                0.28785,                0.75778,                0.93941,                0.72575,                0.93924,                0.97792,                0.97446,                0.19927,                0.77829,                0.83424,                0.00092,                0.00092,                0.00092
                     10,                0.28423,                0.70463,                0.93363,                0.83535,                0.95064,                0.98913,                0.98804,                0.19364,                0.74933,                0.82456,             0.00087875,             0.00087875,             0.00087875
                     11,                0.28681,                0.69876,                0.94809,                 0.9749,                0.99247,                0.98958,                0.98389,                0.21581,                0.42691,                0.82306,              0.0008375,              0.0008375,              0.0008375
                     12,                0.28599,                0.66712,                0.93999,                0.92887,                0.99995,                0.99216,                0.98985,                0.19533,                0.46947,                0.82805,             0.00079625,             0.00079625,             0.00079625
                     13,                0.28002,                0.62557,                 0.9402,                 0.8854,                0.97002,                0.99109,                0.98921,                0.16767,                0.67645,                0.80918,               0.000755,               0.000755,               0.000755
                     14,                0.26067,                0.57543,                0.92662,                0.90671,                0.95166,                0.98208,                0.97941,                0.17501,                0.45574,                0.81372,             0.00071375,             0.00071375,             0.00071375
                     15,                0.26658,                0.56445,                0.92897,                0.94575,                0.98397,                0.99229,                0.98985,                0.20267,                0.41376,                0.82406,              0.0006725,              0.0006725,              0.0006725
                     16,                0.26557,                0.56804,                0.93708,                0.97057,                      1,                0.99375,                0.98853,                0.21863,                0.31707,                0.84249,             0.00063125,             0.00063125,             0.00063125
                     17,                0.25992,                0.52369,                0.92146,                0.92181,                0.92818,                0.96067,                0.95653,                0.18238,                0.69428,                0.81757,                0.00059,                0.00059,                0.00059
                     18,                0.25214,                0.54774,                0.92317,                 0.7878,                0.94027,                 0.9157,                0.91018,                 0.1944,                0.66792,                0.81823,             0.00054875,             0.00054875,             0.00054875
                     19,                0.25946,                0.54455,                0.93579,                0.95097,                0.99484,                0.99362,                0.99111,                0.20519,                0.38923,                0.81977,              0.0005075,              0.0005075,              0.0005075
                     20,                0.25188,                0.49694,                0.92496,                0.95081,                0.98588,                0.99083,                0.99083,                0.15758,                0.29258,                0.80113,             0.00046625,             0.00046625,             0.00046625
                     21,                0.17656,                  0.522,                0.84495,                0.94465,                0.96514,                 0.9875,                 0.9857,                0.15972,                0.41067,                0.80399,               0.000425,               0.000425,               0.000425
                     22,                0.16089,                0.43026,                0.83148,                0.97177,                0.95877,                0.98874,                0.98697,                0.17441,                0.38544,                0.80481,             0.00038375,             0.00038375,             0.00038375
                     23,                0.15334,                0.41079,                0.82903,                0.96364,                0.98273,                  0.995,                0.99361,                0.15433,                0.38813,                0.79593,              0.0003425,              0.0003425,              0.0003425
                     24,                0.15437,                 0.3967,                0.83279,                0.95314,                0.97867,                0.98911,                0.98911,                0.16171,                0.32138,                 0.7994,             0.00030125,             0.00030125,             0.00030125
                     25,                0.15099,                 0.3753,                0.82084,                 0.9543,                0.95862,                0.98875,                0.98875,                0.15943,                0.38646,                0.80147,                0.00026,                0.00026,                0.00026
                     26,                0.15012,                0.36103,                0.82844,                0.96919,                0.97626,                0.98813,                0.98812,                0.14203,                0.27105,                0.79193,             0.00021875,             0.00021875,             0.00021875
                     27,                 0.1458,                0.33851,                0.83465,                0.96139,                0.97256,                0.99006,                0.99006,                0.15094,                0.40858,                0.79236,              0.0001775,              0.0001775,              0.0001775
                     28,                0.13922,                0.33184,                 0.8325,                0.97619,                0.98095,                0.99278,                0.99278,                0.14422,                 0.3256,                0.79187,             0.00013625,             0.00013625,             0.00013625
                     29,                0.13821,                 0.2831,                0.81987,                0.97498,                0.98095,                0.98914,                0.98914,                0.13381,                 0.3282,                0.78594,                9.5e-05,                9.5e-05,                9.5e-05
                     30,                0.13665,                 0.3243,                0.82407,                0.97346,                0.98084,                0.99402,                0.99402,                 0.1374,                0.32361,                0.78784,              5.375e-05,              5.375e-05,              5.375e-05
